"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"enviro";"enviro2";"env";"site"
"21958";3;5;7;2;3;0;0;0;0;0;-0,0328863241995097;0,00340639523032024;20,131165953353;959
"21959";0;0;0;0;0;0;0;12;0;8;0,0127908371324672;-0,0299195546883086;61,826953291893;960
"21960";0;0;0;0;1;2;1;10;1;5;0,0226696109859941;-0,0176246427750469;70,8446602104232;961
"21961";0;0;0;0;0;0;0;11;0;9;0,0198676433477546;-0,0218165336606717;68,2869214331731;962
"21962";2;2;8;4;1;2;0;0;1;0;-0,0205593848368869;-0,0201959405727587;31,3836480956525;963
"21963";0;0;0;0;0;0;0;9;0;11;0,0530048826017107;0,0634791971543451;98,5358081990853;964
"21964";0;0;0;0;1;1;0;8;1;9;0,0183464386523365;-0,023858642857485;66,8983100214973;965
"21965";0;1;1;7;5;5;0;0;0;1;-0,0122692919980444;-0,029995416372162;38,9511487446725;966
"21966";0;0;0;0;1;0;0;10;0;9;0,0195429905312576;-0,0222661610345954;67,9905664408579;967
"21967";0;0;0;0;0;2;0;12;0;6;0,022693569057165;-0,0175863943936664;70,8665300160646;968
"21968";0;0;0;0;1;0;0;10;1;8;0,0375808361480846;0,0140690123833843;84,456173167564;969
"21969";3;5;9;1;2;0;0;0;0;0;-0,0374482217643574;0,0148788341260766;15,9668986219913;970
"21970";1;2;4;7;3;3;0;0;0;0;-0,0266745988618079;-0,00983699856345445;25,8014565566555;971
"21971";0;0;2;2;4;3;2;6;1;0;-0,00453555846619719;-0,0347336050670885;46,0107842227444;972
"21972";2;6;9;1;1;0;1;0;0;0;-0,0337935325189371;0,00557005992941904;19,3030329421163;973
"21973";0;0;0;1;0;2;0;9;0;8;0,0177706541986454;-0,0245886872015835;66,3727128645405;974
"21974";0;0;0;0;0;0;0;11;1;8;0,0356456636897912;0,00906350917386736;82,6896768063307;975
"21975";0;0;0;0;0;0;0;10;0;10;0,0542584789367953;0,0682379621792918;99,6801368892193;976
"21976";2;2;9;2;4;1;0;0;0;0;-0,0290136813969525;-0,00517196707832025;23,6662562703714;977
"21977";6;5;9;0;0;0;0;0;0;0;-0,05292605167117;0,0648250107772004;1,83816808275878;978
"21978";2;1;8;5;4;0;0;0;0;0;-0,0237778121757249;-0,0150753416358493;28,4457496367395;979
"21979";0;0;0;0;0;0;1;8;0;11;0,0396035209986788;0,0195853493499595;86,3025540485978;980
"21980";0;0;0;0;0;1;1;12;0;6;0,0234751251682363;-0,0163162910428368;71,5799630852416;981
"21981";0;0;1;2;5;8;2;2;0;0;0,00215866247540789;-0,0354028177846559;52,1215145010501;982
"21982";5;3;10;1;1;0;0;0;0;0;-0,0450737720051498;0,0373583412288083;9,00601681787521;983
"21983";0;0;0;0;1;1;1;8;1;8;0,0133626287060789;-0,0293970196685327;62,3489056015387;984
"21984";5;2;3;4;3;1;2;0;0;0;-0,0281306282101895;-0,00697880433278442;24,4723395910114;985
"21985";2;5;11;1;1;0;0;0;0;0;-0,0447985438487151;0,036475103098695;9,25725516863167;986
"21986";0;0;0;0;0;0;1;9;0;10;0,0527081992795271;0,0623693044524347;98,2649847865105;987
"21987";0;0;2;1;2;8;3;3;0;1;0,00589154881279305;-0,0343928561620541;55,5290299933404;988
"21988";2;4;7;3;3;1;0;0;0;0;-0,0233300117907208;-0,0158318910817283;28,854518244043;989
"21989";1;4;5;4;1;2;3;0;0;0;-0,00511298649334361;-0,0345266743348594;45,483686751686;990
"21990";0;0;0;0;2;3;3;6;2;4;0,0125656964421998;-0,0301189250592605;61,6214366164058;991
"21991";0;0;0;1;1;0;2;11;0;5;0,0122757795526194;-0,0303703509253952;61,3567898515612;992
"21992";0;0;0;0;0;0;0;11;0;9;0,019388968329032;-0,0224768539562976;67,8499693283811;993
"21993";0;0;0;0;0;0;0;10;1;9;0,0494502737368577;0,0505929183250732;95,2910309191793;994
"21994";0;3;4;3;5;2;2;1;0;0;-0,0130460371152125;-0,029284629039183;38,2421073270962;995
"21995";0;5;12;3;0;0;0;0;0;0;-0,0439585078902551;0,0338126244907798;10,0240707863122;996
"21996";0;0;0;0;0;0;0;8;0;12;0,0454237763083124;0,0370806490166872;91,615496459417;997
"21997";0;0;0;2;0;2;4;8;0;4;0,0202324127677606;-0,0213024105338841;68,619896331802;998
"21998";2;7;11;0;0;0;0;0;0;0;-0,0458463374852808;0,0398663559482357;8,3007907262072;999
"21999";2;2;7;8;1;0;0;0;0;0;-0,0303408202600935;-0,00235224280050986;22,454795264639;1000
