"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"2113";2;1;3;2;4;6;0;3;4;7;0;1;3;2;1;1;0;0;0;0;-0,0162377416656699;-0,0262160451123259;35,7129737501964;14
"2114";0;0;1;1;2;1;0;4;3;4;1;3;4;3;2;8;2;1;0;0;0,0064281686077755;-0,0334722841948468;56,4771282952279;15
"2115";0;0;0;0;0;2;0;1;4;3;1;4;4;0;5;8;3;1;4;0;0,0286330123708021;-0,00563348734827335;76,818901556544;16
"2116";2;0;5;6;7;9;1;3;3;1;2;0;1;0;0;0;0;0;0;0;-0,0329195911129351;0,00214780572171444;20,4307946609333;17
"2117";0;0;0;1;0;1;0;3;4;3;0;7;5;3;5;4;1;0;2;1;0,0128149506972954;-0,0290085652818781;62,328035174869;18
"2118";0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;6;5;10;14;0;0,051519106901808;0,0592557900878633;97,7847660658881;19
"2119";2;0;4;3;6;7;0;6;5;3;0;2;0;2;0;0;0;0;0;0;-0,0303359052111911;-0,00352282318164129;22,7976995287463;20
"2120";0;0;0;0;0;2;0;1;1;3;0;4;9;3;5;3;1;2;6;0;0,0200613603952729;-0,0204788826915806;68,9664436504245;21
"2121";1;2;0;1;2;4;0;2;7;5;1;1;6;1;4;1;1;1;0;0;-0,00195903778327356;-0,0349878032061564;48,793640290387;22
"2122";7;0;8;7;4;4;0;5;3;0;1;0;0;0;0;1;0;0;0;0;-0,0429735094819079;0,0286705772695618;11,2204381264746;23
"2123";0;0;0;0;0;1;1;0;4;0;0;5;4;4;5;6;0;7;3;0;0,0162173542125325;-0,0254623750842893;65,4449641471729;24
"2124";0;0;0;0;0;0;0;0;0;2;0;1;4;0;4;7;8;5;9;0;0,0488586635027497;0,049825210275359;95,347543945536;25
"2125";0;0;0;0;0;1;0;0;3;1;0;3;6;2;5;8;4;4;2;1;0,0269404008058085;-0,00897335457050709;75,2683065133169;26
"2126";2;0;4;1;7;5;0;6;2;5;1;3;2;1;0;0;0;0;0;1;-0,0136024699276866;-0,0289112007941846;38,1271362071857;27
"2127";0;0;0;0;1;1;1;1;0;1;0;3;8;1;4;4;8;5;2;0;0,0317032003079999;0,00093751701395849;79,6314890962094;28
"2128";0;0;0;0;0;0;0;1;1;0;2;4;0;9;7;7;0;2;7;0;0,0357732211709433;0,0106677478040873;83,3600197918713;29
"2129";3;0;6;6;4;4;1;4;2;1;5;0;3;1;0;0;0;0;0;0;-0,023547460592774;-0,0161904018362051;29,0165679296479;30
"2130";0;0;0;0;0;0;0;0;3;1;1;1;6;2;8;3;3;6;6;0;0,0326644934904578;0,003130868513002;80,5121261393651;31
"2131";1;2;1;4;4;8;1;5;3;2;0;3;1;2;1;2;0;0;0;0;-0,0296062962767336;-0,00503936428345586;23,4660915099084;32
"2132";1;1;2;4;1;6;0;1;2;5;1;8;2;2;2;0;0;2;0;0;-0,00641403075031696;-0,033786056692419;44,7124381083995;33
"2133";0;0;0;0;2;0;1;6;3;1;1;3;7;2;3;4;2;3;2;0;0,0111794425260954;-0,0304241841818738;60,8297523343936;34
"2134";0;0;0;0;0;0;0;0;1;2;1;3;3;3;6;5;3;8;5;0;0,0327147433343142;0,00324730483775979;80,55815983098;35
"2135";0;0;1;0;0;1;0;1;0;3;0;6;8;1;6;5;2;6;0;0;0,016732532531777;-0,0248546338727748;65,9169170539826;36
"2136";0;0;0;0;0;1;0;0;0;0;2;1;2;1;3;4;7;11;8;0;0,0523659949031061;0,0623619731786869;98,5605969559401;37
"2137";2;0;3;3;3;3;0;3;9;4;1;3;2;2;2;0;0;0;0;0;-0,0146857631866323;-0,0278622614149446;37,134735356085;38
"2138";0;1;0;0;1;2;0;6;2;3;0;2;5;4;5;4;1;3;1;0;0,000755938737735508;-0,035037384911885;51,2808199971914;39
"2139";9;0;7;7;5;5;0;3;3;0;0;0;0;1;0;0;0;0;0;0;-0,0434905078321712;0,0302261392977518;10,7468178961426;40
"2140";0;0;0;0;0;0;0;0;0;0;2;1;4;0;4;4;10;6;9;0;0,037353946512679;0,0147601045904889;84,808116289787;41
"2141";1;0;3;3;1;2;1;8;7;2;0;3;5;1;0;2;0;1;0;0;-0,012782626177784;-0,0296503178310661;38,8781919609755;42
"2142";1;0;0;0;2;0;0;0;0;1;0;6;2;2;3;6;6;8;3;0;0,0219078666119782;-0,0177164546582604;70,6580210011452;43
"2143";1;0;1;1;0;2;0;4;4;7;0;2;5;3;6;3;1;0;0;0;-0,0030117082343517;-0,0348294663210191;47,8292928775772;44
"2144";3;0;6;6;7;5;1;3;4;1;2;0;1;0;0;0;1;0;0;0;-0,0304400447576175;-0,00330331667620821;22,7022976847365;45
"2145";0;1;2;1;1;2;3;6;2;2;1;5;5;4;3;2;0;0;0;0;-0,00166662774323042;-0,0350179901811723;49,061516020447;46
"2146";0;0;0;0;0;1;0;0;0;1;1;4;5;5;7;5;0;6;5;0;0,0335570646744363;0,00522545893153323;81,3298072200269;47
"2147";0;0;0;0;0;0;1;0;2;2;2;4;4;4;7;6;2;2;4;0;0,0224786512236328;-0,0168141484223488;71,1809146218002;48
"2148";0;0;0;0;0;0;0;0;0;0;1;2;2;2;4;4;7;6;12;0;0,0527732821414025;0,0638737224884479;98,9337112521753;49
"2149";0;0;0;0;0;0;0;0;1;0;0;4;3;3;7;10;2;3;7;0;0,0398352069417;0,0215373870695303;87,0811895700172;50
"2150";3;2;2;5;5;13;0;5;1;2;0;1;0;0;0;1;0;0;0;0;-0,0384822287902403;0,0159460351753735;15,3348833555356;51
"2151";4;1;6;8;0;8;4;3;1;2;2;1;0;0;0;0;0;0;0;0;-0,0329034662089405;0,00211096287732558;20,445566624403;52
"2152";0;0;0;0;0;0;0;0;0;1;0;1;1;2;2;10;4;8;11;0;0,0485972461426806;0,0489253453002305;95,1080604922026;53
"2153";0;0;0;0;0;0;0;0;0;0;1;1;2;6;6;8;0;10;6;0;0,0322421501979874;0,00215923755436637;80,1252190489322;54
"2154";3;0;4;5;4;4;2;5;4;0;4;0;1;3;1;0;0;0;0;0;-0,0248325007230928;-0,0140405098592575;27,8393475338817;55
"2155";0;1;0;0;0;7;1;3;5;4;0;4;5;2;4;4;0;0;0;0;0,00372999614436708;-0,0344982372362251;54,0053427219391;56
"2156";0;0;0;0;0;0;0;0;2;4;0;3;7;4;5;4;1;6;4;0;0,0214460532664154;-0,0184297708446974;70,2349555445835;57
"2157";0;0;1;1;2;1;0;1;6;2;0;9;7;1;4;1;0;3;1;0;0,00903099222044364;-0,0319986300368834;58,8615651475266;58
"2158";12;1;5;6;9;2;0;2;2;0;1;0;0;0;0;0;0;0;0;0;-0,0429911284374231;0,0287232811621068;11,2042974680662;59
"2159";0;0;0;0;0;1;1;0;2;2;1;4;7;8;5;5;0;2;1;1;0,0129268839646864;-0,0289048204524099;62,4305768171325;60
"2160";0;0;0;0;0;0;0;0;0;0;0;1;2;0;5;3;9;5;15;0;0,051010047064744;0,057412891266754;97,3184182774276;61
"2161";7;1;7;6;4;5;1;2;2;2;1;2;0;0;0;0;0;0;0;0;-0,041849524623587;0,0253533885251829;12,2501163976267;62
